id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
658344,Fort Lauderdale Beach Resort,1770887,Chris,,Fort Lauderdale,26.1369065,-80.1051716,Entire home/apt,359,1,29,2024-03-23,0.19,24,63,3,
680331,"Oceanfront Condo in Hollywood, FL",3463815,Nelson,,Hollywood,25.98806,-80.11844,Entire home/apt,159,3,38,2024-05-27,0.27,1,0,5,
695109,Fort Lauderdale Beach Resort,1770887,Chris,,Fort Lauderdale,26.1369065,-80.1051716,Entire home/apt,329,1,26,2024-03-21,0.18,24,84,4,
695242,Fort Lauderdale Beach Resort,1770887,Chris,,Fort Lauderdale,26.1369065,-80.1051716,Entire home/apt,429,1,41,2024-03-23,0.28,24,42,4,
716990,Beautiful house Central Ft. Lauderdale!,3696537,David & Sindy,,Fort Lauderdale,26.14284,-80.1256,Entire home/apt,550,20,210,2018-03-18,1.42,1,0,0,
722515,"Luxury 5 Bedroom Art Villa, Heated Pool, Hot tub",2609518,Bram,,Hollywood,26.0073,-80.15713,Entire home/apt,644,3,303,2024-12-15,2.05,2,231,15,
765598,Enjoy A Garden Eden By The Beach!,4036922,Gail,,Fort Lauderdale,26.16618,-80.11688,Entire home/apt,400,3,69,2024-06-15,0.48,1,284,3,
806019,Walk 2 BEACH! 50% OFF Monthly 32Days+ Snowbirds!,275948,Von Inc,,Hollywood,26.01858,-80.12627,Entire home/apt,220,32,0,,,2,302,0,
901497,Mary Pop Apartments ( Studio ) LAST MINUTE OK,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,55,7,100,2021-06-26,0.69,16,112,0,
915364,Fully furnished studio efficiency with murphy bed.,4913859,Patrick,,Hollywood,26.02478,-80.1479,Entire home/apt,75,29,19,2023-05-19,0.25,1,0,0,
916342,2 miles from the beach sleeps 3,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,95,7,27,2024-03-25,0.21,16,19,2,
1002995,bedroom at Fort lauderdal,5514632,Tony,,Lauderhill,26.1782,-80.22414,Private room,61,1,22,2024-01-27,0.17,12,36,1,
1038248,Mins from Everywhere-Private 3/2 House,240212,Elisa And Stephen,,Pembroke Pines,26.01745,-80.25884,Entire home/apt,,4,29,2024-04-04,0.21,1,0,6,
1069095,Room in Fort lauderdale.,5514632,Tony,,North Lauderdale,26.21665,-80.22905,Private room,49,1,13,2017-03-25,0.11,12,179,0,
1117425,Cute Villa w/POOL 250 yds to *BEACH*,6133059,Lauderdale,,Lauderdale By The Sea,26.19678,-80.09716,Entire home/apt,145,5,124,2024-12-14,0.96,2,261,10,
1118565,JanFeb Elegant Condo 250 yds to Lauderdale *BEACH*,6133059,Lauderdale,,Lauderdale By The Sea,26.19217,-80.09839,Entire home/apt,121,5,93,2024-04-10,0.66,2,327,4,
1147098,3BR/3FBA/OceanView/Parking/ Steps from the Beach,6288957,Olga,,Hollywood,26.00715,-80.11813,Entire home/apt,396,3,31,2024-11-30,0.55,5,90,10,
1149806,Cozy Suite in Fort Lauderdale,6302818,Omar A.,,Oakland Park,26.16956,-80.13086,Entire home/apt,160,3,205,2024-08-17,1.45,1,252,5,
1173175,Tropical Waterfront Paradise with dockage,2604965,Maureen,,Hollywood,26.03013,-80.16469,Entire home/apt,650,2,48,2022-07-25,0.34,1,364,0,
1176802,Tides beautiful ocean view condo-promotions,6439113,Ines,,Hollywood,25.9898,-80.11838,Entire home/apt,242,3,159,2024-10-13,1.26,2,203,14,
1237209,Enchanting Getaway by Young Circle- Close to Beach,4359681,Colleen,,Hollywood,26.02041,-80.14032,Entire home/apt,127,28,2,2017-03-18,0.02,1,365,0,
1246824,Hollywood Perfect Beach House,6794297,Patrick,,Hollywood,26.00989,-80.13893,Entire home/apt,350,4,1,2015-07-03,0.01,2,84,0,
1305586,Oceanfront 1 Bedroom 2 Bath Penthouse,3018206,Lawrence,,Hollywood,25.9942,-80.11883,Entire home/apt,130,29,8,2024-04-03,0.06,2,265,2,
1309185,Oceanfront 1bd/1br condo HOLLYWOOD BEACH,7116670,Tamara,,Hollywood,25.98839,-80.11767,Entire home/apt,155,3,65,2024-10-21,2.10,1,0,10,
1312899,SANITIZED 2 BEDROOMS APT  SAWGRASS MALL,6204254,Florida Trend,,Plantation,26.12531,-80.32422,Entire home/apt,,30,78,2023-07-01,0.57,4,344,0,
1375343,Small House for two,1304156,Nicolas,,Hollywood,26.02767,-80.14192,Entire home/apt,82,2,251,2024-11-15,1.98,4,355,26,
1376873,Beautiful Boutique Condo Steps from the Beach,7459306,Rachelle,,Hollywood,26.02302,-80.11658,Entire home/apt,268,5,35,2024-11-26,0.32,1,230,2,
1408900,Pool view 2 miles to Hollywood beach sleeps 6 #209,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.0339584,-80.14204149999999,Entire home/apt,131,7,45,2024-10-13,0.34,16,128,5,
1548483,"""Welcome home on Hallandale Beach""",8250407,Shane,,Hollywood,25.99644,-80.11963,Entire home/apt,259,3,45,2024-03-24,0.33,1,363,3,
1559232,Luxury Beach House in Hollywood Beach,8298928,Craig,,Hollywood,26.048735,-80.113045,Entire home/apt,525,4,40,2024-12-17,0.30,1,258,1,
1602075,Gorgeous Deerfield Home with Heated Pool,1976255,Svetlana,,Deerfield Beach,26.31989,-80.09157,Entire home/apt,450,4,118,2024-08-17,0.88,1,289,7,
1646485,Amazing location across the beach!,8737341,France,,Pompano Beach,26.22799,-80.08983,Entire home/apt,995,7,7,2024-05-17,0.14,1,295,1,
1658551,Modern Beach Apartment by Miami Te Espera,8790381,Natalia,,Hollywood,25.98869,-80.11806,Entire home/apt,186,5,28,2024-04-05,0.21,10,106,1,
1661692,2 bedroom. Beach Club,8802450,Janet,,Hallandale Beach,25.98492,-80.11828,Entire home/apt,,90,0,,,5,363,0,
1664188,3 bedroom/3 baths. Beach Club.,8802450,Janet,,Hallandale Beach,25.98434,-80.11801,Entire home/apt,750,90,0,,,5,358,0,
1664295,On the Beach!  2 bedroom/2 baths,8802450,Janet,,Hollywood,25.9873,-80.11862,Entire home/apt,363,10,0,,,5,362,0,
1682792,"Compact Studio, Pretty, Cozy,  Steps to Beach",231429,Sonia,,Hollywood,26.02798,-80.11611,Entire home/apt,86,3,133,2024-11-29,0.99,1,81,13,
1744871,Oceanfront condo in Fort Lauderdale,42693534,Sandra,,Lauderdale By The Sea,26.21158,-80.0918,Entire home/apt,150,7,83,2024-11-05,0.61,1,189,7,
1750221,Guest Room in 3BDR-2BA Home in quiet neighborhood,9207908,Lee,,North Lauderdale,26.21774,-80.22545,Private room,56,1,1,2020-01-12,0.02,1,365,0,
1796704,NEW 2 BED APARTMENT  SAWGRASS MALL,6204254,Florida Trend,,Plantation,26.12964,-80.31767,Entire home/apt,,30,26,2018-11-17,0.19,4,323,0,
1819422,Villa-Coral-Ridge-Fort Lauderdale,9526715,Jean Yves,,Fort Lauderdale,26.20038,-80.12807,Entire home/apt,325,3,41,2024-10-21,0.34,1,330,7,
1858886,"Waterfront Home w/pool, hottub and TikiHut",9443719,Ida Annika,,Pompano Beach,26.21185,-80.10533,Entire home/apt,1199,2,18,2022-05-08,0.14,3,208,0,
1865860,Comfy Studio *Quiet *Fast Wi-Fi *Stand Up Desk,2692728,Vera,,Oakland Park,26.172754287719727,-80.15001678466797,Entire home/apt,115,3,530,2024-12-10,3.91,3,81,26,
1871833,"Beautiful, Two Story Home",9754289,Patrick,,Deerfield Beach,26.28451,-80.14504,Private room,79,5,31,2016-09-01,0.23,1,276,0,
1876292,3 bdrm 2 bath heated pool tropical home near beach,9774075,Joe,,Deerfield Beach,26.30172,-80.08614,Entire home/apt,550,3,15,2023-03-11,0.11,1,339,0,
1901619,Waterfront home / pool near Miami,9873790,Suncove Villa,,Pompano Beach,26.21767,-80.09986,Entire home/apt,445,5,57,2024-03-01,0.47,1,287,2,
1911406,The Cracker Shack Tiny House Fort Lauderdale,171749,Rob,,Fort Lauderdale,26.13233757019043,-80.13584899902344,Entire home/apt,149,30,13,2020-10-02,0.10,1,89,0,
1923086,"East Miramar / ""AIRSTREAM TRAILER """,5680969,Ana,,Miramar,25.97314,-80.20889,Entire home/apt,107,5,0,,,1,365,0,
1987335,Lovely Beach Apartment by Miami Te Espera,8790381,Natalia,,Hollywood,25.98869,-80.11806,Entire home/apt,184,4,44,2024-03-03,0.37,10,170,1,
1989116,2 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02424,-80.11634,Entire home/apt,113,3,78,2024-05-28,0.58,2,264,1,
2011721,3 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02468,-80.11625,Entire home/apt,92,3,116,2024-07-09,0.86,2,259,2,
2022117,Furnished Room # 3 share bathroom,10392690,Pochita,,Pembroke Pines,26.02633,-80.23914,Private room,53,3,54,2024-12-16,0.40,4,89,8,
2028061,"Modern, quaint, fully renovated",10416582,Shelly,,Tamarac,26.22893,-80.26515,Private room,49,3,27,2023-01-04,0.20,1,24,0,
2043616,Best of Hallandle Beach Vacation,10479761,Barry,,Hallandale Beach,25.9775,-80.12035,Entire home/apt,85,90,4,2022-04-01,0.03,1,358,0,
2057228,"Lovely Room Weston , Florida Golf",10534063,Sandra,,Weston,26.11309,-80.36772,Private room,76,1,127,2024-12-15,0.96,2,155,27,
2098727,The BluView Apart - Ocean Front Miami Hollywood,10704712,Michel,,Hollywood,25.9877,-80.11907,Entire home/apt,353,3,121,2024-12-08,1.12,2,326,10,
2108829,Studio on the beach Ocean Manor,10591425,Chris,,Fort Lauderdale,26.17957,-80.09687,Entire home/apt,210,4,59,2024-07-31,0.45,2,326,3,
2116588,Downtown Fort Lauderdale and Beaches-2401,10791649,Lena,,Fort Lauderdale,26.09122,-80.18896,Entire home/apt,328,4,235,2024-12-15,2.16,5,309,34,
2177017,Pompano Beach House with Heated Pool & Spa,6272954,Erica,,Margate,26.24921,-80.22059,Entire home/apt,499,4,82,2024-12-13,0.68,4,293,9,
2195826,Room available in W. Pembroke Pines,11065578,Ovetta,,Pembroke Pines,25.99329,-80.35594,Private room,33,30,32,2024-06-16,0.25,1,267,2,
2209568,Oceanfront Building: On the Beach! Enjoy it!,11270841,Pablo,,Hollywood,25.9873,-80.11862,Entire home/apt,195,3,92,2024-12-24,0.76,1,122,21,
2254312,The  Little Inn with a Big ❤️,11512158,Sea Spray Inn,,Lauderdale By The Sea,26.18779,-80.09628,Entire home/apt,189,3,186,2024-12-24,1.81,5,18,10,
2262485,Peaceful Studio  with Full Kitchen,11553282,Lorraine & Greg,,Fort Lauderdale,26.20941,-80.11751,Entire home/apt,129,1,668,2024-12-21,5.09,4,170,58,
2274922,Amazing Beach View Studio on Florida's Best Beach,11584719,Osean11,,Hollywood,26.0119,-80.11684,Entire home/apt,105,2,60,2022-08-05,1.21,1,0,0,
2296181,Townhouse/ Beautiful Deerfield Bch,3208532,Katrina,,Deerfield Beach,26.29171,-80.13166,Private room,95,1,3,2016-02-29,0.02,1,365,0,
2311108,Health & Wellness Retreat 5' from Hollywood Beach,11797569,Alejandro,,Hollywood,26.00088119506836,-80.13599395751953,Private room,84,2,86,2024-10-21,1.42,1,175,20,
2362039,Furnished Room #2 share bathroom,10392690,Pochita,,Pembroke Pines,26.02551,-80.23962,Private room,53,3,11,2024-03-15,0.08,4,52,1,
2379359,Spacious 1/1 Hotel-Condo Minutes from the Beach!,12154543,Shiela,,Fort Lauderdale,26.1381,-80.11015,Entire home/apt,185,1,95,2024-03-30,0.80,2,119,4,
2410896,Stunning Beach Apartment by Miami Te Espera,8790381,Natalia,,Hollywood,25.98869,-80.11806,Entire home/apt,306,4,33,2022-04-23,0.27,10,113,0,
2439075,8 Bed 5 Bath Pool Water View-Minimum 3 Months,12468203,Gary,,Deerfield Beach,26.30387,-80.0884,Entire home/apt,433,90,2,2015-01-04,0.02,2,365,0,
2445506,"6,800 SF. 8/5 pool spa water view",12468203,Gary,,Parkland,26.32728,-80.27905,Entire home/apt,499,90,3,2017-03-17,0.02,2,365,0,
2452611,Resort Villa W - Ocean & IntraCoastal,12540540,Tom,,Hillsboro Beach,26.3043,-80.07796,Entire home/apt,285,3,30,2024-09-27,0.32,5,280,3,
2500771,"Charming Villa, Pool, Walk 2 Beach Fort Lauderdale",12705227,Rhona,,Fort Lauderdale,26.16136932373047,-80.10245513916016,Entire home/apt,335,2,112,2024-07-14,1.01,2,355,6,
2501510,Private Cabin King Bed Free Parking 2 miles 2Beach,10477721,Joanne And Louis,,Pompano Beach,26.23878,-80.11984,Entire home/apt,125,4,21,2022-05-02,0.17,1,287,0,
2509161,STUDIO 3 Blocks to BEACH w/POOL & free WiFi,899093,Sharone,,Hallandale Beach,25.98546,-80.12828,Entire home/apt,98,5,157,2024-12-04,1.20,7,114,4,
2553995,CHAPPY WATERFRONT RESORT HOUSE,13077136,James,,Pompano Beach,26.2094,-80.12895,Entire home/apt,337,3,6,2021-11-28,0.07,2,303,0,
2586608,White Sandy Beach & Superb location,11068214,Ronald,,Hollywood,25.98891,-80.11899,Entire home/apt,236,7,48,2024-08-04,0.38,3,107,1,
2600442,"COMFY 1bedrm apt , WIFI, POOL ,PARKING NEAR BEACH",899093,Sharone,,Hallandale Beach,25.9962,-80.13525,Entire home/apt,104,30,30,2024-05-24,0.24,7,143,1,
2752488,★彡 BIG DOGS Welcome♡Your 2nd home Beach/Downtown彡★,1710387,Doris,,Hollywood,26.00506,-80.1409,Entire home/apt,,31,26,2024-08-01,0.20,4,0,2,
2824122,Oceanview king bed right on the beach w pool&gym,14447511,Andrey,,Hollywood,25.988689422607422,-80.11805725097656,Entire home/apt,474,1,62,2024-12-16,2.57,5,204,42,
2886372,Very nice and safe complex!,14751091,Philip,,Deerfield Beach,26.3195,-80.14709,Entire home/apt,259,7,36,2024-10-21,0.30,4,28,7,
2914844,Sailboat Bend Retreat,13077724,Kelsey,,Fort Lauderdale,26.1185219,-80.1610659,Entire home/apt,391,3,14,2024-12-11,1.72,1,208,14,
2942878,"STUDIO W/POOL , PARKING, WIFI, 3 BLOCKS TO BEACH",899093,Sharone,,Hallandale Beach,25.98559,-80.12831,Entire home/apt,91,4,137,2024-10-31,1.06,7,7,8,
2976800,"Comfortable Florida style living, butterfly garden",1340850,Renata,,Oakland Park,26.17298,-80.14867,Entire home/apt,179,1,50,2024-12-22,0.56,9,317,11,
2978245,Hollywood Beach 2 Bed Apartment,12518363,Aziz,,Hollywood,25.99991,-80.11969,Entire home/apt,107,25,24,2023-11-17,0.20,1,273,0,
3014355,THE TIDES 1 bedroom apt with nice OCEAN VIEW,15362033,Ana,,Hallandale Beach,25.98586,-80.12159,Entire home/apt,162,2,38,2023-12-29,0.33,26,52,1,
3218564,Casino Lodging “Country Acres” Parkland Florida,16295826,Barbara,,Coral Springs,26.29326,-80.21954,Entire home/apt,180,1,90,2024-12-08,0.73,1,279,20,
3410222,Eco friendly paradise near Airport/Port/Beaches!,17044377,James,,Dania Beach,26.065,-80.19611,Private room,60,30,79,2024-08-12,1.01,3,89,3,
3410784,Beautiful 2 bed condo by the ocean,14055439,Maria,,Lauderdale By The Sea,26.2142,-80.09458,Entire home/apt,180,90,1,2015-04-01,0.01,1,271,0,
3425621,"2/2 Corner until , WD in-unit WD",17267831,Andrea,,Fort Lauderdale,26.16606,-80.11338,Entire home/apt,230,30,0,,,2,269,0,
3441997,Great Florida Vacation,2402257,Varvara,,Deerfield Beach,26.31552,-80.09838,Entire home/apt,125,5,86,2020-07-28,0.70,1,0,0,
3525059,Beautiful Beach Waterfront Dockage,17751258,Eileen,,Fort Lauderdale,26.13558,-80.10665,Entire home/apt,250,7,7,2024-05-07,0.07,1,86,2,
3528081,The Royal Palm Villa - Waterfront,17762583,Lennart,,Fort Lauderdale,26.12217,-80.11675,Entire home/apt,650,3,63,2024-11-30,0.53,1,98,5,
3530463,LakeFront - Home Near Casino w private pool,17773902,Beatriz,,Davie,26.07055,-80.2599,Entire home/apt,320,3,137,2024-12-02,1.11,1,134,7,
3553435,"Private Master with 
Private Bath (w/Pool Access)",11553282,Lorraine & Greg,,Fort Lauderdale,26.20974,-80.11967,Private room,82,1,719,2024-12-23,5.70,4,145,50,
3628940,Gorgeous Oceanfront 2/2 Condo 1506,18282693,Raydiant,,Hollywood,25.9896,-80.11738,Entire home/apt,175,30,8,2022-10-31,0.13,4,273,0,
4010331,4Palms Guestroom in private  home,20793680,James,,Dania Beach,26.05539,-80.14111,Private room,54,1,75,2019-03-19,0.61,1,119,0,
4033013,Make Yourself at Home,7259492,Alda,,Miramar,25.98753,-80.3159,Private room,71,180,17,2023-10-27,0.14,2,216,0,
4057942,Ocean View! Beach Front Building 1Bed/2Bath!,12717900,Modern Beach Rentals,,Hollywood,26.01082,-80.11676,Private room,,1,0,,,4,6,0,
4064679,Fort Lauderdale Beach Resort,1770887,Chris,,Fort Lauderdale,26.1369065,-80.1051716,Entire home/apt,429,1,17,2024-12-16,0.17,24,56,7,
4097680,"Gorgeous 1 Bedroom, Like New !!",12878437,Vicky,,Hallandale Beach,25.98679,-80.11775,Entire home/apt,191,4,13,2023-03-29,0.12,11,275,0,
4097752,amazing.. Directly access to the beach!!,12878437,Vicky,,Hallandale Beach,25.98675,-80.11761,Entire home/apt,243,3,22,2024-04-07,0.20,11,338,1,
4157531,2 bedroom 2 bathroom unit on the beach 5W,20474214,Fabiana,,Hollywood,25.98912,-80.11805,Entire home/apt,352,5,29,2024-02-27,0.24,6,162,2,
4181633,Studio within 10 mins of beach,21693558,Alex,,Plantation,26.1008,-80.24683,Entire home/apt,174,7,0,,,1,364,0,
4258380,"Across the beach, golf.  Pompano beach",22100178,Annic,,Pompano Beach,26.24916,-80.08823,Entire home/apt,136,3,66,2024-11-05,0.64,1,224,16,
4294956,Vacation Home Rental,350312,Jaime,,Hollywood,26.01262,-80.15834,Entire home/apt,115,60,2,2024-05-24,0.02,2,233,1,
4295517,Vacation Apartment Rental,350312,Jaime,,Hollywood,26.01465,-80.15846,Entire home/apt,60,60,6,2023-11-12,0.06,2,289,0,
4311927,"3bd house, pool, 1.3 miles to beach",19347509,Dinissa,,Deerfield Beach,26.30717,-80.08306,Entire home/apt,150,3,110,2024-11-06,0.89,1,73,18,
4315812,"Tropical Oasis, Luxury Surroundings",6270706,Daniel,,Hollywood,26.00605,-80.13534,Private room,540,20,0,,,1,365,0,
4321322,2/2 Fully furnished Condo,14751091,Philip,,Deerfield Beach,26.32101,-80.14515,Entire home/apt,185,14,35,2024-12-13,0.29,4,117,8,
4437649,Spacious room with private bath and entrance,6981777,Olga,,Hollywood,26.01681,-80.22923,Private room,65,2,20,2024-11-26,0.17,5,354,1,
4449747,RV 5th wheel,21849688,Kostiantyn,,Pompano Beach,26.23145,-80.08987,Entire home/apt,,1,0,,,1,0,0,
4484576,BlueRoom in the ❤️ of Wilton Manors - Heated pool,3685146,Raazee And Daniel,,Wilton Manors,26.16042,-80.12775,Private room,80,1,719,2024-12-01,5.83,5,56,62,
4492175,RedRoom in the ❤️ of Wilton Manors - Heated pool,3685146,Raazee And Daniel,,Wilton Manors,26.16121,-80.12927,Private room,79,1,690,2024-12-08,5.59,5,65,53,
4494878,MIAMI- CHARMING 2 BDRM OCEANVIEW,637272,Bianca,,Hollywood,25.99231,-80.11821,Entire home/apt,213,10,16,2023-12-10,0.13,5,248,0,
4509621,Caribbean resort only 5 minute-drive to the Ocean,5221395,Yolande,,Hallandale Beach,25.98341,-80.15035,Entire home/apt,360,2,70,2024-10-13,0.62,3,53,11,
4538391,Comfortable 4/2 Private Home Walk to Bch Hot tub!,23505135,Lance,,Pompano Beach,26.2284,-80.09725,Entire home/apt,334,2,110,2024-10-11,1.11,1,290,4,
4559328,Pompano Beach Right On the Beach!,11873653,George,,Pompano Beach,26.2285,-80.09129,Entire home/apt,125,7,8,2022-01-01,0.07,1,269,0,
4580179,Vacation Apartment 2&2 +/-90 days,23741402,Andrew,,Hollywood,26.00843,-80.14666,Entire home/apt,80,80,23,2017-08-22,0.19,1,272,0,
4597522,the Tides on Hollywood,23821171,Alex,,Hollywood,25.98778,-80.11787,Entire home/apt,349,4,11,2021-06-14,0.09,1,331,0,
4628316,Studio! Ocean View! Beach Front Building!,12717900,Modern Beach Rentals,,Hollywood,26.01066,-80.11663,Entire home/apt,150,1,20,2024-02-10,0.17,4,7,2,
4628409,Hotel Room! Ocean View! Beach Front Building,12717900,Modern Beach Rentals,,Hollywood,26.01119,-80.11725,Entire home/apt,130,1,19,2024-02-10,0.16,4,6,3,
4637874,Fort Lauderdale walk to LAS OLAS,339865,Susan,,Fort Lauderdale,26.12284,-80.1295,Entire home/apt,131,3,115,2024-12-09,0.95,1,280,8,
4668569,room in Fort lauderdale,5514632,Tony,,North Lauderdale,26.21691,-80.22945,Private room,39,1,9,2016-12-04,0.08,12,37,0,
4707242,Cottage Room,24330722,John,,Fort Lauderdale,26.12165,-80.12799,Private room,70,1,396,2024-12-15,3.25,2,295,48,
4729595,Sunny Private Room w/ terrace and Hot tub.,24423385,Fernan Antonio,,Fort Lauderdale,26.119378,-80.154259,Private room,95,3,43,2024-12-19,1.71,1,338,13,
4741523,Room at the Tennis Club,24476265,Bruce,,Fort Lauderdale,26.15072,-80.14721,Private room,60,30,19,2023-03-09,0.16,2,104,0,
4774207,Cozy Lux Studio,24623672,Eileen,,Hollywood,26.01405,-80.13522,Entire home/apt,96,1,185,2024-11-08,1.60,1,285,23,
4786772,Komffy Penthouse w/ King Bed & Ocean View at Tides,24675123,Komffy,,Hollywood,25.98814,-80.11831,Entire home/apt,252,5,211,2024-10-16,1.79,3,103,12,
4786849,Tropical Tiki Pool Home,24676288,Martha,,Deerfield Beach,26.29874,-80.08931,Entire home/apt,405,3,13,2024-12-05,0.18,1,263,2,
4800053,Direct Oceanfront-On the Beach-Pool-Grill-Parking,20852213,Marc,,Deerfield Beach,26.31044,-80.07579,Entire home/apt,900,2,29,2024-10-22,0.24,1,334,7,
4808775,"Luxurious Close to Beach ""Little Palace""",8869038,Kenneth,,Pompano Beach,26.22521,-80.09757,Entire home/apt,870,5,57,2024-12-08,0.52,1,269,4,
4836110,Luxury Penthouse On The Beach 3/3 Oceanfront Condo,2001930,Dmitri,,Hollywood,25.98755,-80.11758,Entire home/apt,749,3,16,2024-10-29,0.14,25,316,6,
4867216,Beautiful 😎 Waterfront home 3 Bdrms  Pool ☀️ Sand 🏖,25026680,Joe,,Fort Lauderdale,26.10464,-80.12815,Entire home/apt,199,3,182,2024-08-27,1.57,1,26,9,
4876339,"Ultra Fest 25mins, Hollywood Beach 5mins",24515578,Wynwood Buena Vista Club,,Hollywood,26.00808,-80.15411,Entire home/apt,110,2,101,2024-10-11,0.83,1,365,4,
4879228,2 Bedroom @ Club Wyndham Sea Gardens,5146,Jorge,,Pompano Beach,26.24299,-80.08745,Entire home/apt,,2,1,2015-01-04,0.01,3,0,0,
4909030,Sunny Room,24330722,John,,Fort Lauderdale,26.1224,-80.12924,Private room,62,1,758,2024-12-18,6.27,2,241,69,
4923644,OCEANFRONT ON THE BEACH 1/1.5 8FL ON THE BEACH,2001930,Dmitri,,Hollywood,25.98794,-80.11943,Entire home/apt,285,7,2,2019-05-13,0.02,25,63,0,
4923853,"Beachfront Hollywood 1 bedrm 1,5 bath free parking",25361296,Nelly,,Hollywood,25.99416,-80.11698,Entire home/apt,157,27,20,2023-03-15,0.19,4,225,0,
4925618,Wow! Beach House Just Steps Away from the Ocean,25372446,Alida,,Pompano Beach,26.22804,-80.09029,Entire home/apt,470,3,44,2024-07-23,0.46,3,265,7,
4930326,OCEANFRONT MODERN 2/2 BEDROOM ON THE BEACH 2TH FL,2001930,Dmitri,,Hollywood,25.98709,-80.11886,Entire home/apt,345,5,18,2024-07-19,0.19,25,247,5,
4948999,Historic house  built in 1924,25507540,Mermolina,,Fort Lauderdale,26.12163,-80.12977,Private room,72,2,566,2024-12-01,4.66,1,299,20,
